covariate	slope	p_value
Intercept	-1.5475042217630028	0.0
Number iHS data points	0.08069888582134432	0.0015265040925426243
Regulatory density (ChIP-seq)	0.32684798444996543	0.007643124784427302
Regulatory density in immune cells (ChIP-seq)	0.14626591346242465	0.1317238018528173
Regulatory density in testis (ChIP-seq)	-0.10728748890692762	0.04758561342944856
Coding density	0.20213709920615625	0.02729553561234177
Density of conserved elements	0.056586486655281994	0.24332913890781338
GC-content	0.3500008900437605	0.0026284132745961752
Gene expression	-0.2600724540171186	0.0002559847022760575
Gene expression in testis	0.05349145707922278	0.2606860903926289
Gene expression in immune cells	0.25032030599794697	0.00015612139665743818
Gene length	0.02269151079759394	0.5466362533623863
Gene number	-0.020659581646032852	0.7963670393802977
Number PPIs	-0.03660477838163676	0.300208936116077
Recombination rate	-1.7378195753811472	0.0
Regulatory density (DNaseI)	-0.5505070022210062	8.268441060566012e-05
Distance to VIPs	-0.17802889866251026	2.7655122221914574e-05
