covariate	slope	p_value
Intercept	-3.7739301168293116	0.0
Number iHS data points	0.14282708797542107	7.126536433266217e-05
Regulatory density (ChIP-seq)	0.16955510938630977	0.2119205170501467
Regulatory density in immune cells (ChIP-seq)	-0.42824366888168125	0.0005854744678968071
Regulatory density in testis (ChIP-seq)	0.11205759383644813	0.22006447739815604
Coding density	0.2505407547951422	0.008260434478004508
Density of conserved elements	0.11495027875677238	0.11932473373075148
GC-content	-0.01962658095131834	0.8812796680948305
Gene expression	-0.4534941376931275	4.489652459938043e-05
Gene expression in testis	0.20679875909259127	0.0033922887095348964
Gene expression in immune cells	0.6232541110024377	9.622121988073218e-10
Gene length	0.19631363342512972	4.564398269690795e-05
Gene number	-0.0008114049215939237	1.0
Number PPIs	0.046543563575516325	0.3053042792887001
Recombination rate	-3.44338494895016	0.0
Regulatory density (DNaseI)	-0.2827437595928335	0.09540694901813751
Distance to VIPs	-0.17163079137302775	0.0014645391231159488
