covariate	slope	p_value
Intercept	-3.4001306836336127	0.0
Number iHS data points	0.03492711443878529	0.16926172142970564
Regulatory density (ChIP-seq)	-0.2024787547212407	0.09411061291702572
Regulatory density in immune cells (ChIP-seq)	-0.14101699594784695	0.21007540644194012
Regulatory density in testis (ChIP-seq)	-0.12398256331198479	0.07319542087915121
Coding density	0.20876827559067335	0.018359668008353314
Density of conserved elements	0.2607808708816118	7.442054934214681e-05
GC-content	-0.12438089172576114	0.28462614703825495
Gene expression	-0.2658056906115006	0.00726420305678499
Gene expression in testis	0.19236998772308325	0.0032882735567685284
Gene expression in immune cells	0.5769129639478375	1.8948476121494195e-10
Gene length	0.04438041423524759	0.3330410977102912
Gene number	-0.3122357475059713	0.0011115220483675081
Number PPIs	0.04651502341515955	0.2521701696305134
Recombination rate	-3.0161426288296598	0.0
Regulatory density (DNaseI)	-0.1363724714626277	0.35773373469760017
Distance to VIPs	-0.16518723746044578	0.0001173902536744098
