covariate	slope	p_value
Intercept	-23.279722940360678	0.0
Number iHS data points	0.49900945691327836	3.4489078259980488e-12
Regulatory density (ChIP-seq)	0.12833710393673167	0.45444200574600613
Regulatory density in immune cells (ChIP-seq)	-0.14054510303538023	0.45274968223297063
Regulatory density in testis (ChIP-seq)	-0.13419794767703916	0.17858893615860327
Coding density	-0.018800068561526755	0.8953669813163803
Density of conserved elements	0.14513710685284387	0.20444304228768617
GC-content	-0.12835421087127707	0.4082935209863321
Gene expression	-0.15155035121098326	0.33783961868960855
Gene expression in testis	0.2531729566370451	0.009609677596945865
Gene expression in immune cells	0.3843373042763317	0.009811936848993397
Gene length	0.10820159414748105	0.16875689404725314
Gene number	0.026457393831458467	0.8006281538841431
Number PPIs	0.1526679701499043	0.009108813594261744
Recombination rate	-29.441627605829883	0.0
Regulatory density (DNaseI)	-0.10758042481534347	0.600176025855859
Distance to VIPs	-0.06536853422968074	0.2189383058771862
